id,title,speaker,recorded_date,published_date,event,duration,views,likes,recorded_year,like ratio
350,"Playtime with Pleo, your robotic dinosaur friend",Caleb Chung,2007-12-12,2008-09-25,EG 2007,1086,478428,14000,2007,0.029262501358616133
359,The Blur Building and other tech-empowered architecture,Liz Diller,2007-12-12,2008-10-02,EG 2007,1143,814146,24000,2007,0.029478742142072797
372,Design and the Elastic Mind,Paola Antonelli,2007-12-12,2008-10-15,EG 2007,1038,403983,12000,2007,0.029704220227088764
386,The story of Ezra,Newton Aduaka,2007-06-06,2008-10-31,TEDGlobal 2007,1110,420736,12000,2007,0.028521448128993
403,"A tour of Nollywood, Nigeria's booming film industry",Franco Sacchi,2007-06-06,2008-11-19,TEDGlobal 2007,1035,283682,8500,2007,0.029963127727525893
412,Demo: The Orb,Nick Sears,2007-03-03,2008-12-05,TED2007,218,539974,16000,2007,0.029631056310118635
529,Lessons from the 1918 flu,Laurie Garrett,2007-02-02,2009-04-30,TED2007,1251,833661,25000,2007,0.029988208636364182
585,You are the future of philanthropy,Katherine Fulton,2007-03-10,2009-06-25,TED2007,734,509891,15000,2007,0.029418052093486646
590,The design genius of Charles + Ray Eames,Eames Demetrios,2007-02-02,2009-07-06,TED2007,894,833325,24000,2007,0.02880028800288003
730,Really achieving your childhood dreams,Randy Pausch,2007-09-18,2010-01-08,Carnegie Mellon University,4587,662291,19000,2007,0.02868829562835672
835,"Homeopathy, quackery and fraud",James Randi,2007-02-02,2010-04-19,TED2007,1022,6102266,183000,2007,0.02998885987598705
1176,A circle of caring,Jok Church,2007-03-03,2011-06-22,TED2007,196,830454,24000,2007,0.02889985477822974
